run_id,algorithm,tor_id,interface,sample_start_ns,sample_finish_ns,transmitted_bytes
920128104,conweave,134,18,2010000000,2107140000,1099244245
920128104,conweave,134,19,2010000000,2107140000,1101926388
920128104,conweave,134,20,2010000000,2107140000,1108483771
920128104,conweave,134,21,2010000000,2107140000,1111028850
920128104,conweave,134,22,2010000000,2107140000,1110983301
920128104,conweave,134,23,2010000000,2107140000,1107010628
920128104,conweave,134,24,2010000000,2107140000,1104231053
920128104,conweave,135,17,2010000000,2107140000,1112073231
920128104,conweave,135,18,2010000000,2107140000,1098332464
920128104,conweave,135,19,2010000000,2107140000,1097271746
920128104,conweave,135,20,2010000000,2107140000,1109851709
920128104,conweave,135,21,2010000000,2107140000,1107440045
920128104,conweave,135,22,2010000000,2107140000,1108641228
920128104,conweave,135,23,2010000000,2107140000,1114384488
920128104,conweave,135,24,2010000000,2107140000,1104809963
920128105,conweave,128,17,2010000000,2111970000,1107702551
920128105,conweave,128,18,2010000000,2111970000,1117265060
920128105,conweave,128,19,2010000000,2111970000,1107636830
920128105,conweave,128,20,2010000000,2111970000,1122453708
920128105,conweave,128,21,2010000000,2111970000,1114883945
920128105,conweave,128,22,2010000000,2111970000,1124368325
920128105,conweave,128,23,2010000000,2111970000,1106950192
920128105,conweave,128,24,2010000000,2111970000,1107182673
920128105,conweave,129,17,2010000000,2111970000,1106813652
920128105,conweave,129,18,2010000000,2111970000,1111937144
920128105,conweave,129,19,2010000000,2111970000,1120801336
920128105,conweave,129,20,2010000000,2111970000,1121151640
920128105,conweave,129,21,2010000000,2111970000,1099658128
920128105,conweave,129,22,2010000000,2111970000,1116781968
920128105,conweave,129,23,2010000000,2111970000,1119315468
920128105,conweave,129,24,2010000000,2111970000,1119159088
920128105,conweave,130,17,2010000000,2111970000,1122597888
920128105,conweave,130,18,2010000000,2111970000,1129085160
920128105,conweave,130,19,2010000000,2111970000,1103741364
920128105,conweave,130,20,2010000000,2111970000,1106277680
920128105,conweave,130,21,2010000000,2111970000,1110314888
920128105,conweave,130,22,2010000000,2111970000,1102969312
920128105,conweave,130,23,2010000000,2111970000,1130509096
920128105,conweave,130,24,2010000000,2111970000,1107168204
920128105,conweave,131,17,2010000000,2111970000,1121906412
